alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1738299494.5441,elite,2457.4772489482,1738271195.5944,"AS52173 Sia Nano IT",MAKONIX,Stockholm,Europe,EU,Sweden,SE,,true,YOURSERVER,59.3293,18.0686,false,,false,"Stockholm County",success,Europe/Stockholm,"100 04",1738271205,1738299494.5441,1080,http,http://185.82.126.195:1080,false,283.21266174316,116,297,28.087167070218,185.82.126.195
true,1738299431.4602,elite,2464.9910198318,1738249104.1694,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Humen,Asia,AS,China,CN,,false,Chinanet,22.819,113.673,false,"Chinanet GD",false,Guangdong,success,Asia/Shanghai,,1738249106,1738299492.9354,2324,http,http://59.39.225.1:2324,false,832.2172164917,36,557,6.070826306914,59.39.225.1
true,1738299492.7481,elite,3680.6468087629,1710540111.5347,"AS13489 UNE EPM TELECOMUNICACIONES S.A.","UNE EPM TELECOMUNICACIONES S.A.",Medellín,"South America",SA,Colombia,CO,,false,"EPM Telecomunicaciones S.A. E.S.P.",6.2529,-75.5646,false,"EPM Telecomunicaciones S.A. E.S.P",false,Antioquia,success,America/Bogota,050026,1738200807,1738299492.7481,5678,socks4,socks4://201.184.159.28:5678,true,1842.8483009338,12551,269615,4.4480908401437,201.184.159.28
true,1738282288.8132,transparent,1212.1675946749,1738028028.906,"AS56041 China Mobile communications corporation",CMNET-Zhejiang-AP,Ningbo,Asia,AS,China,CN,,false,"China Mobile Communications Corporation",29.8797,121.5513,true,"China Mobile",false,Zhejiang,success,Asia/Shanghai,,1738028031,1738299492.4465,5911,http,http://39.185.31.193:5911,false,1101.9251346588,3762,140,96.412096360841,39.185.31.193
true,1738299492.4325,elite,502.27212905884,1738172817.7276,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1738299493,1738299492.4325,6181,http,http://72.10.160.90:6181,false,502.27212905884,1,426,0.23419203747073,72.10.160.90
true,1738282223.9228,elite,1451.3492640815,1738254143.5747,"AS55990 Huawei Cloud Service data center",HWCSNET,Beijing,Asia,AS,China,CN,,true,"Huawei Cloud Service data center",39.9042,116.4073,false,"Huawei Cloud Service",false,Beijing,success,Asia/Shanghai,,1738254146,1738299490.7845,9200,http,http://124.71.224.204:9200,false,950.39296150208,633,24,96.34703196347,124.71.224.204
true,1738299278.2859,elite,3674.3826190174,1737779267.5458,"AS140292 CHINATELECOM Jiangsu province Suzhou 5G network",CHINATELECOM-JIANGSU-SUZHOU-5G-NETWORK,Nanjing,Asia,AS,China,CN,,false,"Jiangsu Network of ChinaTelecom",32.0607,118.763,false,,false,Jiangsu,success,Asia/Shanghai,210000,1737779710,1738299490.5896,8089,http,http://121.236.239.154:8089,false,798.32482337952,522,6746,7.1821684094662,121.236.239.154
true,1738290436.7003,elite,922.40289250044,1737982637.8761,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Changchun,Asia,AS,China,CN,,false,Chinanet,43.8519,125.389,false,"Chinanet JL",false,Jilin,success,Asia/Shanghai,130000,1737982639,1738299490.4926,10004,http,http://36.49.86.159:10004,false,790.90690612793,4526,56,98.777826276735,36.49.86.159
true,1738299320.9782,transparent,2139.6446825505,1738163425.1085,"AS63949 Akamai Connected Cloud",AKAMAI-LINODE-AP,Tokyo,Asia,AS,Japan,JP,,true,"Akamai Technologies, Inc.",35.6893,139.6899,false,"Akamai Technologies, Inc.",false,Tokyo,success,Asia/Tokyo,151-0053,1738163426,1738299490.4791,3128,http,http://172.237.27.200:3128,false,717.28563308716,1249,708,63.822176801226,172.237.27.200
true,1738299490.1773,elite,939.92306391398,1738171203.3998,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Nanjing,Asia,AS,China,CN,,false,Chinanet,32.0607,118.763,false,"Chinanet JS",false,Jiangsu,success,Asia/Shanghai,210000,1738203432,1738299490.1773,1080,http,http://121.230.8.56:1080,false,1914.0644073486,15,1294,1.1459129106188,121.230.8.56
